,full_text,created_at
0,pregnant women offered pfizer moderna vaccine says uk advisory committee,2021-04
1,covid vaccines safe pregnant women lieoriginal advice pregnancy excluded befor,2021-04
2,according observer,2021-04
3,university oxford developed vaccine alongside astrazeneca approved emergency use,2021-04
4,woman three brain surgeries due blood clots jampj vaccine via,2021-04
5,abject nonsense saying plenty policy areas outwith competence,2021-04
6,originally us hospitalitywith big names operators signed charter state accept v,2021-04
7,delusional nicola sturgeon refuses credit union vaccine success,2021-04
8,government data show reported adverse reactions jab132000 pfizer astra zeneca th,2021-04
9,woman three brain surgeries due blood clots jampj vaccine via,2021-04
10,authorities managed activate powerful primitive human emotion brits causes one incapable rational thought fear,2021-04
11,covid19 pregnant women offered pfizer moderna vaccine says uk advisory committee,2021-04
12,also news israel,2021-04
13,possible link vaccine blood clots european regulator finds via,2021-04
14,originally us hospitalitywith big names operators signed charter state accept v,2021-04
15,indian tourists travel us w covid test one largest,2021-04
16,16 amp,2021-04
17,early figures ukfor every patients admitted hospital covid vaccine least,2021-04
18,nhs sending texts people invite book covid19 vaccine appointment may come local nhs,2021-04
19,work moving towards younger demographic want first provide data less,2021-04
20,nia de aos que form parte de los ensayos clnicos que se estn llevando cabo en nios partir de los meses lamen,2021-04
21,authorities managed activate powerful primitive human emotion brits causes one b,2021-04
22,thousands retweets implying x surge b1617 variant related school openings ukand rising despite vac,2021-04
23,pfizer covid vaccine child trial kills yearold girl via,2021-04
24,people got pfizer vaccine israel later developed shingles via,2021-04
25,pfizer covid vaccine child trial kills yearold girl via,2021-04
26,michael gove visiting israel study covid green pass smartphone app could soon model vaccine p,2021-04
27,vaccine uptake tripled among ethnic minority communities since february says dr nikki kanani medical director,2021-04
28,az pfiser comparisons,2021-04
29,two year old dies pfizer covid vaccinewe devastated report two year old girl sad,2021-04
30,shingles may rare side effect pfizerbiontech coronavirus vaccine new study claims researchers israel found people certain autoimmune diseases likely develop herpes zoster compared without,2021-04
31,well bit spicier tv debatesa visibly furious nicola sturgeon hustings insists ind,2021-04
32,one extremely rich powerful person dies covid despite two vaccine jabs see uk adopt,2021-04
33,boy rattled truth matter shes really nothing success vaccination programme thats boris shed indy itd years got vaccine thank god still part uk better together,2021-04
34,goes vaccines uk statistically people dying vaccine uk,2021-04
35,one extremely rich powerful person dies covid despite two vaccine jabs see uk adopt,2021-04
36,pfizer covid vaccine child trial kills yearold girl daily expose,2021-04
37,early figures ukfor every patients admitted hospital covid vaccine least,2021-04
38,well bit spicier tv debatesa visibly furious nicola sturgeon hustings insists ind,2021-04
39,uk records covid deaths possible blood clot link discovered another vaccine evening standard,2021-04
40,vaccine sourcing eu procurement usuk vc investmentsukuseu,2021-04
41,new guidance green book covid19 vaccination patients previous thrombosis amp throm,2021-04
42,well bit spicier tv debatesa visibly furious nicola sturgeon hustings insists ind,2021-04
43,uk severe adverse reactions cases pfizer jab,2021-04
44,authorities managed activate powerful primitive human emotion brits causes one b,2021-04
45,well bit spicier tv debatesa visibly furious nicola sturgeon hustings insists ind,2021-04
46,jewish people suffered enough experimentation already israel tried crimes humanity mandatory covid vaccine experiment daily expose,2021-04
47,matter time uk students required vaccine,2021-04
48,michael gove visiting israel study covid green pass smartphone app could soon model vaccine p,2021-04
49,daily express ukcouncil,2021-04
50,also news israel,2021-04
51,ik hoop van harte dat er nederland geen enkele ouder te vinden die zijn kind blootstelt aan n experimenteel vaccin overleden kindje geen onderliggend lijden,2021-04
52,originally us hospitalitywith big names operators signed charter state accept v,2021-04
53,uk experience population surpassed vaccine starts effect population new cases many health units ontario cusp unit approx,2021-04
54,vaccine uptake tripled among ethnic minority communities since february says dr nikki kanani medical director,2021-04
55,ik hoop zo dat nederlandse ouders wel tien keer nadenken voordat ze hun kind laten inenten met een experimenteel vaccin dit kin,2021-04
56,french clearly arent entirely stupid one gives credit forwell played french frogs takers,2021-04
57,ik hoop zo dat nederlandse ouders wel tien keer nadenken voordat ze hun kind laten inenten met een experimenteel vaccin dit kindje twee jaar geen onderliggend lijden en stierf binnen een week na vaccinatie met,2021-04
58,,2021-04
59,authorities managed activate powerful primitive human emotion brits causes one b,2021-04
60,originally us hospitalitywith big names operators signed charter state accept v,2021-04
61,astrazeneca covid vaccine qampa know blood clots side effects risks under30s,2021-04
62,authorities managed activate powerful primitive human emotion brits causes one b,2021-04
63,early figures ukfor every patients admitted hospital covid vaccine least,2021-04
64,astrazeneca covid vaccine qampa know blood clots side effects risks under30s uk medicines regulator says benefits astrazeneca vaccine continue outweigh,2021-04
65,yikesrevelation 2 muchpeople got pfizer vaccine israel later developed shingles via,2021-04
66,uk council,2021-04
67,astrazeneca covid vaccine qampa know blood clots side effects risks under30s,2021-04
68,thousands retweets implying x surge b1617 variant related school openings ukand rising despite vac,2021-04
69,authorities managed activate powerful primitive human emotion brits causes one b,2021-04
70,daily express ukcouncil,2021-04
71,delusional nicola sturgeon refuses credit union vaccine success,2021-04
72,daily express ukcouncil,2021-04
73,,2021-04
74,uk council,2021-04
75,authorities managed activate powerful primitive human emotion brits causes one b,2021-04
76,authorities managed activate powerful primitive human emotion brits causes one b,2021-04
77,virus isolated therefore doesnt exist government given liability immunity,2021-04
78,medical apartheid uk christian leaders warn vaccine passports lead surveillance state,2021-04
79,ik hoop zo dat nederlandse ouders wel tien keer nadenken voordat ze hun kind laten inenten met een experimenteel vaccin dit kin,2021-04
80,shingles may rare side effect pfizerbiontech coronavirus vaccine new study claims researchers israe,2021-04
81,yes dont forget ethanol well section shows ingredients,2021-04
82,well bit spicier tv debatesa visibly furious nicola sturgeon hustings insists ind,2021-04
83,originally us hospitalitywith big names operators signed charter state accept v,2021-04
84,also news israel,2021-04
85,astrazeneca covid vaccine qampa know blood clots side effects risks under30s,2021-04
86,question government scientific advisors desperately want vaccinate every man wo,2021-04
87,jampj asked makers join study blood clot risks via,2021-04
88,nia de aos que form parte de los ensayos clnicos que se estn llevando cabo en nios partir de los meses lamen,2021-04
89,google cloud unveils ai contact center focused vaccine equity,2021-04
90,must read great see big names hospitality coming together launch stand ag,2021-04
91,authorities managed activate powerful primitive human emotion brits causes one b,2021-04
92,also news israel,2021-04
93,question government scientific advisors desperately want vaccinate every man wo,2021-04
94,uk council,2021-04
95,nia de aos que form parte de los ensayos clnicos que se estn llevando cabo en nios partir de los meses lamen,2021-04
96,worried worrisome propsito de este tweet en donde andrea nos alerta sobre los recien,2021-04
97,authorities managed activate powerful primitive human emotion brits causes one b,2021-04
98,us blocking raw material exports also along uk eu others blocking thatll,2021-04
99,uk femme dclare quelle se sentait comme crature dans le film horreur de alien quand elle,2021-04
100,astrazenecan uhreja,2021-04
101,one extremely rich powerful person dies covid despite two vaccine jabs see uk adopt,2021-04
102,updated 18 april 21 british living guidance post vaccine thrombosis amp thrombocytopenia vitt based daily disc,2021-04
103,covid19 vaccine doses given per peopleisrael uae chile uk us spain germany canada,2021-04
104,uk council,2021-04
105,people antibody response covid vaccinea new study published,2021-04
106,good see nippys memory improved seems decisions led wildly successful uk vaccine procurement programme last year despite running country presenting daily talk show,2021-04
107,ridiculous loveisnottourism negative covid tests vaccine p,2021-04
108,uk council,2021-04
109,statement evidence stop cocppatchring prior astrazeneca vaccine,2021-04
110,thanks national effort covid patients across uk first time since september,2021-04
111,,2021-04
112,,2021-04
113,question government scientific advisors desperately want vaccinate every man wo,2021-04
114,thousands retweets implying x surge b1617 variant related school openings ukand rising despite vac,2021-04
115,want reach many people possibly know hundreds thousands people vaccine,2021-04
116,one extremely rich powerful person dies covid despite two vaccine jabs see uk adopt,2021-04
117,covid19 vaccine doses given per peopleisrael uae chile uk us spain germany canada,2021-04
118,schokkende cijfers van vaccine vk4325 hartaandoeningen472 overledenen87 hartaanvallen15 miskramen,2021-04
119,vaccine nationalism vaccine inequity australia us uk amp eur remain opposed vaccine waiver allow developing c,2021-04
120,finally uk announced medication covid scientists know people waiting announcement months assume reason government hasnt announced medication plans due wanting affect potential vaccine takeup,2021-04
121,,2021-04
122,muere una nia de aos seis das despus de recibir la vacuna de pfizerla relacin causaefecto es evidente ya que,2021-04
123,encouraging members take vaccine viable option fight c,2021-04
124,uk severe adverse reactions cases pfizer jab,2021-04
125,meanwhile jampj works az,2021-04
126,give bloody second impatient person go,2021-04
127,nd interview many days fm claimed independent scotland would done well vaccine,2021-04
128,originally us hospitalitywith big names operators signed charter state accept v,2021-04
129,well bit spicier tv debatesa visibly furious nicola sturgeon hustings insists ind,2021-04
