,in_reply_to_user_id_str,full_text,id,in_reply_to_screen_name,in_reply_to_user_id,source_url,in_reply_to_status_id_str,favorite_count,lang,source,retweet_count,id_str,in_reply_to_status_id,user,created_time
0,14205819,Are you a #vegan mom?  Have some advice for nutritious eating while #breastfeeding?  @AltHousewife would like to know.,32576188593475585,dopemamaJ,14205819.0,http://twitter.com,32558219918311424,0,en,Twitter Web Client,0,32576188593475585,3.2558219918311424e+16,vegansalt,2011-02-01 23:09:03
1,19468868,"@Shep133 I had a vegan burger the other day with all sorts of shit in it you'd never touch on their own, but this was gooooood! Spicy too!",32576131479633920,Shep133,19468868.0,http://twitter.com/download/android,32572192180936704,0,en,Twitter for Android,0,32576131479633920,3.2572192180936704e+16,leja99,2011-02-01 23:08:49
2,,Overall GRATEFUL @TheOprahShow did a vegan show DISAPPOINTED the suffering of the billions of farm animals were NOT properly represented!!!!,32577369881452544,,,http://www.ubertwitter.com/bb/download.php,,0,en,ÜberSocialOrig,4,32577369881452544,,simonereyes,2011-02-01 23:13:44
3,114023803,@DreddedNupe @sableverity vegan mac n cheese is a crime against humanity.,32577076951261184,RalphInCharge,114023803.0,http://www.echofon.com/,32575282254708737,0,en,Echofon,0,32577076951261184,3.2575282254708736e+16,SusannaDW,2011-02-01 23:12:35
4,,RT @Chichi_C: Whyyyy?? **RT @naijafabulosity: Making my vegan shopping list. &gt;Lol I cld say I'm trying to be healthier but to lose 10 pounds,32576332147720192,,,http://www.ubertwitter.com/bb/download.php,,0,en,ÜberSocialOrig,0,32576332147720192,,Zeetherapy,2011-02-01 23:09:37
5,,RT @MarcusCooks: Read this week's edition of Andrea's Journal and what inspired her to add a new vegan item on the menu for @RoosterHarl ...,32575993872912384,,,http://twitter.com,,0,en,Twitter Web Client,2,32575993872912384,,msshanarobinson,2011-02-01 23:08:16
6,16799584,@foodhussy - Healthy indeed. Using seasoning vs fats for cooking & also vegan & gluten free offerings ;) Tell them Hali sent you Miss Hussy!,32576863448596480,foodhussy,16799584.0,http://twitter.com,,0,en,Twitter Web Client,0,32576863448596480,,BurBBitt,2011-02-01 23:11:44
7,183022206,@vegucated RT @veganpimp: Excited about @Oprah vegan show 2day Lots positive Some disheartening There's still lots of vegucating to be done!,32576048314974208,vegucated,183022206.0,http://www.echofon.com/,,0,en,Echofon,0,32576048314974208,,DougMcNish,2011-02-01 23:08:29
8,,RT @scottjurek: RT @PCRM: Dietary Guidelines for Americans back #vegetarian & #vegan diets to fight #obesity! http://ow.ly/3Nm1c,32577379821953024,,,http://twitter.com/download/iphone,,0,en,Twitter for iPhone,1,32577379821953024,,ryanrnnr,2011-02-01 23:13:47
9,,"RT @bodyindigo: instead of worrying about people eating meat, worry about those families who wish that they could eat a MEAL tonight! #v ...",32576653943111681,,,http://twitter.com,,0,en,Twitter Web Client,4,32576653943111681,,ashleyquiggins,2011-02-01 23:10:54
10,140434906,"@miss_neeta Yeah, I just started by saying to myself ""I'll just be vegan for today and see how it goes""... I guess it stuck! :D",32576261599535104,miss_neeta,140434906.0,http://twitter.com,32574034029842432,0,en,Twitter Web Client,0,32576261599535104,3.257403402984243e+16,MADforAnimals,2011-02-01 23:09:20
11,,I think I wanna become a vegan for a week....,32576460468264960,,,http://twidroyd.com,,0,en,twidroyd (original),0,32576460468264960,,ksharnae_,2011-02-01 23:10:08
12,,Oprah is showing every damn thing in my fridgeeeeeeeee on this vegan episode !,32575339465023488,,,http://www.ubertwitter.com/bb/download.php,,0,en,ÜberSocialOrig,0,32575339465023488,,MsQuinnRae,2011-02-01 23:05:40
13,,"RT @bodyindigo: instead of worrying about people eating meat, worry about those families who wish that they could eat a MEAL tonight! #v ...",32576206381514752,,,https://about.twitter.com/products/tweetdeck,,0,en,TweetDeck,4,32576206381514752,,imagine_farming,2011-02-01 23:09:07
14,,EIGHT DAYS WITHOUT POOPING??? WTF! @Oprah #vegan,32576377379094529,,,http://www.ubertwitter.com/bb/download.php,,0,en,ÜberSocialOrig,0,32576377379094529,,mts_1979,2011-02-01 23:09:48
15,,If your a Vegan sorry but #icantdateyou,32577320921341952,,,http://twitter.com,,0,en,Twitter Web Client,0,32577320921341952,,1nation_agroove,2011-02-01 23:13:33
16,,"#Oprah viewers looking to learn more about origins of your #food, tune #Agchat for convo on humane animal handling http://ht.ly/3OqUo #vegan",32576483474014209,,,https://about.twitter.com/products/tweetdeck,,0,en,TweetDeck,1,32576483474014209,,beefrunner,2011-02-01 23:10:13
17,23135573,@alicesour Thanks for finding me! I love your hand-made bows!! Vegan greetings from Sydney - hope you have fun on your planned visit here :),32575584273965056,4000potatoes,23135573.0,http://twitter.com,,0,en,Twitter Web Client,0,32575584273965056,,MADforAnimals,2011-02-01 23:06:39
18,92437145,"@AR_ranchhand  ANY processed food is chock full of salt & sugar, vegan or otherwise. Buy fresh, cook at home - vegan or otherwise.",32576424669880320,beefrunner,92437145.0,http://twitter.com,32575672639553536,0,en,Twitter Web Client,0,32576424669880320,3.2575672639553536e+16,Gwen_In_Texas,2011-02-01 23:09:59
19,213520892,@vegan_fashion Out of control Fire almost burn down studio http://www.BuyFireGone.com http://www.youtube.com/watch?v=KArlUUJHP3Y,32577642322464769,vegan_fashion,213520892.0,http://twitter.com,,0,en,Twitter Web Client,0,32577642322464769,,skyhistudios,2011-02-01 23:14:49
20,,RT @DrSuRu: Oprah's vegan show promotes too many bogus hyper processed vegan substitutes. Not impressed.,32577354177974272,,,http://twitter.com/download/android,,0,en,Twitter for Android,1,32577354177974272,,juliana_taube,2011-02-01 23:13:41
21,26629052,@xDontxForget17 http://mysp.ac/v3g9n is a nice composite of vegan foods & famous people who love them:,32577222971756544,mcarre14,26629052.0,http://twitterfeed.com,,0,en,twitterfeed,0,32577222971756544,,veganimated,2011-02-01 23:13:09
22,20828358,"@Sgrcn I know she did a show on being vegan, I've been there/done that. We do meatless a few times a week.",32575989854773248,Sgrcn,20828358.0,https://about.twitter.com/products/tweetdeck,32575840642408448,0,en,TweetDeck,0,32575989854773248,3.257584064240845e+16,ElitatheLibra,2011-02-01 23:08:15
23,,"Without known it I am almost a vegan (apparently) I don't eat meat, fish, cheese nor butter but I do eat eggs and milk so I am almost there.",32575473259126786,,,http://twitter.com/download/iphone,,0,en,Twitter for iPhone,0,32575473259126786,,rexseem,2011-02-01 23:06:12
24,,"is cooking vegan sweet potato and peanut soup, pot roast sandwich with brown gravy,grilled tofu or chicken avocado... http://fb.me/QDA1gkIP",32575819045937153,,,http://www.facebook.com/twitter,,0,en,Facebook,0,32575819045937153,,821Cafe,2011-02-01 23:07:35
25,,Nice recipe RT @lifelonghealth: #GlutenFree & Yeast Free #Vegan Pizza Recipe: http://bit.ly/5rH7cW,32576581977247744,,,http://twitter.com/download/iphone,,0,en,Twitter for iPhone,0,32576581977247744,,NTJ,2011-02-01 23:10:37
26,24734288,"@Lifeiskitsch Yeah, yeah, I know.  One day there will be a great #Paleo #Vegan war.",32575839644164096,Lifeiskitsch,24734288.0,http://twitter.com,32574987529359360,0,en,Twitter Web Client,0,32575839644164096,3.257498752935936e+16,GutToCutWL,2011-02-01 23:07:40
27,,RT @XoomNYC: We have a new @thirdstreetchai Spicy Ginger Chai latte regular (she orders it with hemp milk).  Who can blame her with this ...,32577635888402432,,,http://twitter.com,,0,en,Twitter Web Client,2,32577635888402432,,megans27,2011-02-01 23:14:48
28,,It looks like the people of Malawi don't want to go vegan.,32576204364054528,,,http://twitter.com,,0,en,Tweetie for Mac,0,32576204364054528,,satisfythemind,2011-02-01 23:09:07
